preco;valor_m2;quartos;suites;vagas;espaco;latitude;longitude
795000.0;8195.0;3;2;2;97.0;-15.837664995733;-48.031239992953
1250000.0;9398.0;2;3;3;133.0;-15.836534989456;-48.01198500116
1450000.0;7837.0;4;4;4;185.0;-15.84067;-48.02206
392000.0;9560.0;1;1;1;41.0;-15.834665007812;-48.012055031961
385000.0;8750.0;1;0;0;44.0;-15.84067;-48.02206
983271.0;9546.0;3;2;2;103.0;-15.838701645321;-48.036807093913
2599990.0;9811.0;4;4;4;265.0;-15.841842667042;-48.021175574139
870000.0;7767.0;4;2;2;112.0;-15.837135007995;-48.029319992303
2195000.0;8959.0;4;3;3;245.0;-15.84067;-48.02206
390000.0;7500.0;2;0;0;52.0;-15.836631976279;-48.042906345641
280000.0;9032.0;1;0;0;31.0;-15.839758276622;-48.03437398531
579900.0;7159.0;3;2;2;81.0;-15.84067;-48.02206
989000.0;8909.0;4;2;2;111.0;-15.84067;-48.02206
345000.0;10454.0;1;1;1;33.0;-15.84067;-48.02206
390000.0;8863.0;1;0;0;44.0;-15.836631976279;-48.042906345641
365000.0;9605.0;1;0;0;38.0;-15.84067;-48.02206
1497000.0;9535.0;4;4;4;157.0;-15.834902512606;-48.019895881256
310000.0;10000.0;1;1;1;31.0;-15.84067;-48.02206
1280000.0;9733.0;4;3;3;131.0;-15.84067;-48.02206
669000.0;8576.0;3;2;2;78.0;-15.84060973365;-48.027706587243
429000.0;8250.0;2;1;1;52.0;-15.84067;-48.02206
950000.0;8878.0;4;3;3;107.0;-15.84067;-48.02206
820000.0;9879.0;3;2;2;83.0;-15.844432049564;-48.026566190314
640000.0;9411.0;2;1;1;68.0;-15.844959835383;-48.027943339188
690000.0;8414.0;3;2;2;82.0;-15.839439989459;-48.020920026126
777000.0;8931.0;3;2;2;87.0;-15.837020008283;-48.016994990416
777000.0;8931.0;3;2;2;87.0;-15.837020008283;-48.016994990416
796000.0;6471.0;3;2;2;123.0;-15.841842667042;-48.021175574139
875000.0;11363.0;3;2;2;77.0;-15.836918381182;-48.039159954942
450000.0;9000.0;1;0;0;50.0;-15.845095068508;-48.030893091352
1290000.0;8269.0;5;4;4;156.0;-15.837020008283;-48.016994990416
650000.0;8552.0;3;2;2;76.0;-15.84067;-48.02206
1389000.0;8791.0;4;3;3;158.0;-15.84067;-48.02206
649000.0;8770.0;2;1;1;74.0;-15.844959835383;-48.027943339188
